"","class","order","family","scientificname","comm.english","comm.fr","species.code","aphia.id"
"30","Actinopterygii","Scorpaeniformes","Cottidae","Myoxocephalus octodecemspinosus","Longhorn sculpin","Chaboisseau à dix-huit épines",300,159520
"31","Actinopterygii","Scorpaeniformes","Cottidae","Myoxocephalus scorpius","Shorthorn sculpin","Chaboisseau à épines courtes",301,127203
"32","Actinopterygii","Scorpaeniformes","Cottidae","Triglops murrayi","Mailed sculpin","Faux-trigle armé",304,127205
"33","Actinopterygii","Scorpaeniformes","Cottidae","Artediellus uncinatus","Snowflake hookear sculpin","Hameçon neigeux",306,127195
"35","Actinopterygii","Scorpaeniformes","Cottidae","Icelus spatula","Spatulate sculpin","Icèle saptulée",314,127200
"42","Actinopterygii","Scorpaeniformes","Cyclopteridae","Cyclopterus lumpus","Lumpfish","Grosse poule de mer",501,127214
"43","Actinopterygii","Scorpaeniformes","Cyclopteridae","Eumicrotremus spinosus","Atlantic spiny lumpfish","Petite poule de mer atlantique",502,127217
"36","Actinopterygii","Scorpaeniformes","Hemitripteridae","Hemitripterus americanus","Sea raven","Hémitriptère atlantique",320,159518
"41","Actinopterygii","Scorpaeniformes","Liparidae","Liparis","Seasnail unidentified","Limace non identifié",500,126160
"34","Actinopterygii","Scorpaeniformes","Psychrolutidae","Cottunculus microps","Polar sculpin","Cotte polaire",307,127235
"6","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Redfish","Sébaste",23,126175
"24","Elasmobranchii","Rajiformes","Rajidae","Amblyraja radiata","Thorny skate","Raie épineuse",201,105865
"25","Elasmobranchii","Rajiformes","Rajidae","Malacoraja senta","Smooth skate","Raie lisse",202,158554
"26","Elasmobranchii","Rajiformes","Rajidae","Leucoraja ocellata","Winter skate","Raie tachetée",204,158553
"28","Elasmobranchii","Squaliformes","Etmopteridae","Centroscyllium fabricii","Black dogfish","Aiguillat noir",221,105906
"27","Elasmobranchii","Squaliformes","Squalidae","Squalus acanthias","Spiny dogfish","Aiguillat commun",220,105923
"59","Cephalopoda","Oegopsida","Ommastrephidae","Illex illecebrosus","Shortfin squid","Encornet rouge nordique",4511,153087
"58","Malacostraca","Decapoda","Nephropidae","Homarus americanus","Lobster","Homard",2550,156134
"60","Malacostraca","Decapoda","Nephropidae","Homarus americanus","Sponge","Eponge",8600,156134
"56","Malacostraca","Decapoda","Oregoniidae","Hyas coarctatus","Hyas coarctatus","Hyas coarctatus",2521,107323
"57","Malacostraca","Decapoda","Oregoniidae","Chionoecetes opilio","Snow crab","Crabe des neiges",2526,107315
